131072 132095,whois.apnic.net
132096 133119,whois.apnic.net
133120 133631,whois.apnic.net
196608 197631,whois.ripe.net
197632 198655,whois.ripe.net
198656 199679,whois.ripe.net
199680 200191,whois.ripe.net
262144 263167,whois.lacnic.net
263168 263679,whois.lacnic.net
327680 328703,whois.afrinic.net
393216 394239,whois.arin.net
